make_id,model_id,year,cylinder_capacity,km,color,region,price,fuel_type_id,transmission_id,traction_id,age
49,642,2021,1600,62193,Blanco,Metropolitana de Santiago,13990000,1,0,0,3
64,780,2010,1600,165900,,X Los Lagos,3500000,0,0,,14
63,756,2018,1500,92718,Blanco,Araucanía,9290000,0,0,,6
67,5905,2018,2500,66000,,Región Metropolitana,8500000,1,0,0,6
11,169,2014,2500,81000,,Región Metropolitana,9390000,1,0,,10
47,615,2018,1800,95000,,Valparaíso,9500000,0,1,0,6
61,734,2020,1600,50000,,OHiggins,12500000,0,0,0,4
20,299,2022,1500,12000,,Metropolitana de Santiago,12850000,0,0,0,2
49,657,3008,,87397,,Metropolitana de Santiago,14990000,1,0,,-984
11,163,1989,,458000,,Valparaíso,2000000,0,0,,35
33,400,2017,1400,107000,,Metropolitana de Santiago,8990000,0,1,0,7
6,74,2023,,11266,,Metropolitana de Santiago,66900000,0,1,,1
43,586,2019,1500,86606,,Metropolitana de Santiago,6490000,0,0,,5
23,5940,2022,2200,63500,Blanco,Metropolitana de Santiago,7990000,0,0,0,2
64,792,2020,2000,70000,,Metropolitana de Santiago,27800000,1,1,1,4
40,475,2016,,198000,,IX Araucanía,12900000,1,0,,8
26,328,2013,2400,156000,,Araucanía,12000000,0,0,0,11
45,598,2017,,83000000,,Valparaíso,11990000,0,0,,7
209,6141,2020,1500,37000,,Región Metropolitana,7200000,0,0,0,4
47,624,2013,1600,78800,,Metropolitana de Santiago,5100000,0,0,0,11
13,201,2024,1200,1500,,OHiggins,-1,0,0,0,0
11,167,2018,1500,71000,Gris,Metropolitana de Santiago,13900000,0,1,1,6
61,736,2017,1200,117000,,VI O'Higgins,6500000,0,0,,7
26,5564,2020,1500,40000,,Maule,99999999999,0,1,,4
19,5603,2016,1300,200000,,VIII Biobío,6000000,1,0,,8
40,471,2018,1500,94000,,VI O'Higgins,12000000,0,1,,6
30,1804,2018,,102000,,Los Lagos,31990000,1,1,,6
47,613,2011,,206000,,Región Metropolitana,9500000,1,0,1,13
31,385,2012,2400,160000,,Metropolitana de Santiago,5990000,0,1,0,12
27,346,2011,,145000,,Bío Bío,3200000,0,0,,13
33,418,2019,,47000,,Valparaíso,11990000,0,1,,5
10,5880,2023,,5200,,VIII Biobío,10400000,0,0,,1
61,1688,2017,1400,102309,,Región Metropolitana,6990000,0,0,,7
47,615,2017,1800,89000,,Bío Bío,9500000,0,1,0,7
20,287,2016,2500,118300,,Metropolitana de Santiago,8800000,0,1,0,8
23,5940,2020,2000,85700,,Bío Bío,10500000,1,0,1,4
11,158,2019,1500,58160,Blanco,Metropolitana de Santiago,6980000,0,0,0,5
31,389,1986,,113000,Amarillo,Metropolitana de Santiago,7990000,0,1,,38
